Freq,Day,NEER,,,,,,,,
MTH,2537/01,127.70,,,,,,,,
MTH,2537/02,127.60,,,,,,,,
MTH,2537/03,127.31,,,,,,,,
MTH,2537/04,127.14,,,,,,,,
MTH,2537/05,126.66,,,,,,,,
MTH,2537/06,126.21,,,,,,,,
MTH,2537/07,125.30,,,,,,,,
MTH,2537/08,125.02,,,,,,,,
MTH,2537/09,124.41,,,,,,,,
MTH,2537/10,123.61,,,,,,,,
MTH,2537/11,123.68,,,,,,,,
MTH,2537/12,124.22,,,,,,,,
MTH,2538/01,124.35,,,,,,,,
MTH,2538/02,124.26,,,,,,,,
MTH,2538/03,122.85,,,,,,,,
MTH,2538/04,120.99,,,,,,,,
MTH,2538/05,121.00,,,,,,,,
MTH,2538/06,120.72,,,,,,,,
MTH,2538/07,120.78,,,,,,,,
MTH,2538/08,122.72,,,,,,,,
MTH,2538/09,123.80,,,,,,,,
MTH,2538/10,123.46,,,,,,,,
MTH,2538/11,123.86,,,,,,,,
MTH,2538/12,124.35,,,,,,,,
MTH,2539/01,125.05,,,,,,,,
MTH,2539/02,125.28,,,,,,,,
MTH,2539/03,125.28,,,,,,,,
MTH,2539/04,125.35,,,,,,,,
MTH,2539/05,125.44,,,,,,,,
MTH,2539/06,125.65,,,,,,,,
MTH,2539/07,125.50,,,,,,,,
MTH,2539/08,125.38,,,,,,,,
MTH,2539/09,125.53,,,,,,,,
MTH,2539/10,125.65,,,,,,,,
MTH,2539/11,125.28,,,,,,,,
MTH,2539/12,125.64,,,,,,,,
MTH,2540/01,126.44,,,,,,,,
MTH,2540/02,127.49,,,,,,,,
MTH,2540/03,127.94,,,,,,,,
MTH,2540/04,128.31,,,,,,,,
MTH,2540/05,128.59,,,,,,,,
MTH,2540/06,135.40,,,,,,,,
MTH,2540/07,111.55,,,,,,,,
MTH,2540/08,105.29,,,,,,,,
MTH,2540/09,97.79,,,,,,,,
MTH,2540/10,92.96,,,,,,,,
MTH,2540/11,90.19,,,,,,,,
MTH,2540/12,83.42,,,,,,,,
MTH,2541/01,72.76,,,,,,,,
MTH,2541/02,82.21,,,,,,,,
MTH,2541/03,91.48,,,,,,,,
MTH,2541/04,94.46,,,,,,,,
MTH,2541/05,96.63,,,,,,,,
MTH,2541/06,91.86,,,,,,,,
MTH,2541/07,94.28,,,,,,,,
MTH,2541/08,94.02,,,,,,,,
MTH,2541/09,94.50,,,,,,,,
MTH,2541/10,96.23,,,,,,,,
MTH,2541/11,100.25,,,,,,,,
MTH,2541/12,100.00,,,,,,,,
MTH,2542/01,98.81,,,,,,,,
MTH,2542/02,98.80,,,,,,,,
MTH,2542/03,98.93,,,,,,,,
MTH,2542/04,98.46,,,,,,,,
MTH,2542/05,100.25,,,,,,,,
MTH,2542/06,100.47,,,,,,,,
MTH,2542/07,99.67,,,,,,,,
MTH,2542/08,96.21,,,,,,,,
MTH,2542/09,91.07,,,,,,,,
MTH,2542/10,91.33,,,,,,,,
MTH,2542/11,93.14,,,,,,,,
MTH,2542/12,94.55,,,,,,,,
MTH,2543/01,96.80,,,,,,,,
MTH,2543/02,97.28,,,,,,,,
MTH,2543/03,96.80,,,,,,,,
MTH,2543/04,96.92,,,,,,,,
MTH,2543/05,96.26,,,,,,,,
MTH,2543/06,94.91,,,,,,,,
MTH,2543/07,92.84,,,,,,,,
MTH,2543/08,91.87,,,,,,,,
MTH,2543/09,90.39,,,,,,,,
MTH,2543/10,88.62,,,,,,,,
MTH,2543/11,88.07,,,,,,,,
MTH,2543/12,89.01,,,,,,,,
MTH,2544/01,89.24,,,,,,,,
MTH,2544/02,90.47,,,,,,,,
MTH,2544/03,89.33,,,,,,,,
MTH,2544/04,87.32,,,,,,,,
MTH,2544/05,87.16,,,,,,,,
MTH,2544/06,88.30,,,,,,,,
MTH,2544/07,87.81,,,,,,,,
MTH,2544/08,87.32,,,,,,,,
MTH,2544/09,88.12,,,,,,,,
MTH,2544/10,88.26,,,,,,,,
MTH,2544/11,89.42,,,,,,,,
MTH,2544/12,91.11,,,,,,,,
MTH,2545/01,91.88,,,,,,,,
MTH,2545/02,92.56,,,,,,,,
MTH,2545/03,92.89,,,,,,,,
MTH,2545/04,92.36,,,,,,,,
MTH,2545/05,92.02,,,,,,,,
MTH,2545/06,92.03,,,,,,,,
MTH,2545/07,92.41,,,,,,,,
MTH,2545/08,91.03,,,,,,,,
MTH,2545/09,90.00,,,,,,,,
MTH,2545/10,88.90,,,,,,,,
MTH,2545/11,88.67,,,,,,,,
MTH,2545/12,88.31,,,,,,,,
MTH,2546/01,88.18,,,,,,,,
MTH,2546/02,87.85,,,,,,,,
MTH,2546/03,88.08,,,,,,,,
MTH,2546/04,87.75,,,,,,,,
MTH,2546/05,87.30,,,,,,,,
MTH,2546/06,88.20,,,,,,,,
MTH,2546/07,88.52,,,,,,,,
MTH,2546/08,89.34,,,,,,,,
MTH,2546/09,91.06,,,,,,,,
MTH,2546/10,90.90,,,,,,,,
MTH,2546/11,90.41,,,,,,,,
MTH,2546/12,89.65,,,,,,,,
MTH,2547/01,90.13,,,,,,,,
MTH,2547/02,89.95,,,,,,,,
MTH,2547/03,90.09,,,,,,,,
MTH,2547/04,90.25,,,,,,,,
MTH,2547/05,88.98,,,,,,,,
MTH,2547/06,87.84,,,,,,,,
MTH,2547/07,87.20,,,,,,,,
MTH,2547/08,86.40,,,,,,,,
MTH,2547/09,86.32,,,,,,,,
MTH,2547/10,85.90,,,,,,,,
