"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 30, 2020","98.77","98.35","98.98","98.33","-","0.45%"
"Mar 29, 2020","98.32","98.31","98.61","98.29","-","-0.04%"
"Mar 27, 2020","98.36","99.29","99.81","98.27","-","-0.94%"
"Mar 26, 2020","99.29","100.92","101.01","99.25","-","-1.60%"
"Mar 25, 2020","100.91","101.68","101.89","100.84","-","-0.74%"
"Mar 24, 2020","101.66","102.13","102.21","101.06","-","-0.81%"
"Mar 23, 2020","102.49","101.95","102.98","101.65","-","-0.02%"
"Mar 22, 2020","102.51","101.95","102.97","101.95","-","-0.30%"
"Mar 20, 2020","102.82","102.94","102.99","101.09","-","-0.16%"
"Mar 19, 2020","102.99","100.79","102.99","100.78","-","1.80%"
"Mar 18, 2020","101.16","99.38","101.74","99.15","-","1.59%"
"Mar 17, 2020","99.58","98.14","99.83","97.98","-","1.54%"
"Mar 16, 2020","98.07","98.70","98.70","97.45","-","-0.69%"
"Mar 13, 2020","98.75","97.45","98.81","97.33","-","1.31%"
"Mar 12, 2020","97.47","96.65","98.31","96.08","-","0.99%"
"Mar 11, 2020","96.51","96.33","96.69","95.91","-","0.10%"
"Mar 10, 2020","96.41","95.34","96.58","95.23","-","1.60%"
"Mar 09, 2020","94.89","96.11","95.79","94.65","-","-1.10%"
"Mar 06, 2020","95.95","96.61","96.70","95.71","-","-0.90%"
"Mar 05, 2020","96.82","97.38","97.44","96.52","-","-0.53%"
"Mar 04, 2020","97.34","97.17","97.59","97.12","-","0.20%"
"Mar 03, 2020","97.15","97.56","97.69","96.98","-","-0.22%"
"Mar 02, 2020","97.36","98.12","98.12","97.18","-","-0.78%"
"Feb 28, 2020","98.13","98.42","98.66","97.96","-","-0.39%"
"Feb 27, 2020","98.51","99.02","99.05","98.36","-","-0.49%"
"Feb 26, 2020","99.00","99.08","99.27","98.91","-","0.03%"
"Feb 25, 2020","98.97","99.33","99.39","98.88","-","-0.39%"
"Feb 24, 2020","99.36","99.34","99.64","99.11","-","0.10%"
"Feb 21, 2020","99.26","99.86","99.87","99.23","-","-0.60%"
"Feb 20, 2020","99.86","99.54","99.91","99.53","-","0.16%"
"Feb 19, 2020","99.70","99.43","99.72","99.38","-","0.26%"
"Feb 18, 2020","99.44","99.19","99.47","99.14","-","0.44%"
"Feb 17, 2020","99.00","99.16","99.21","99.00","-","-0.12%"
"Feb 14, 2020","99.12","99.12","99.17","99.00","-","0.05%"
"Feb 13, 2020","99.07","98.99","99.11","98.85","-","0.02%"
"Feb 12, 2020","99.05","98.77","99.05","98.70","-","0.33%"
"Feb 11, 2020","98.72","98.86","98.95","98.71","-","-0.11%"
"Feb 10, 2020","98.83","98.70","98.88","98.60","-","0.15%"
"Feb 07, 2020","98.68","98.46","98.72","98.42","-","0.18%"
"Feb 06, 2020","98.50","98.29","98.57","98.21","-","0.20%"
"Feb 05, 2020","98.30","97.94","98.32","97.90","-","0.35%"
"Feb 04, 2020","97.96","97.82","98.01","97.79","-","0.16%"
"Feb 03, 2020","97.80","97.37","97.89","97.37","-","0.42%"
"Jan 31, 2020","97.39","97.87","97.97","97.35","-","-0.49%"
"Jan 30, 2020","97.87","98.03","98.07","97.79","-","-0.12%"
"Jan 29, 2020","97.99","97.95","98.19","97.94","-","-0.03%"
"Jan 28, 2020","98.02","97.95","98.16","97.90","-","0.06%"
"Jan 27, 2020","97.96","97.88","98.00","97.78","-","0.11%"
"Jan 24, 2020","97.85","97.72","97.95","97.67","-","0.16%"
"Jan 23, 2020","97.69","97.48","97.80","97.43","-","0.16%"
"Jan 22, 2020","97.53","97.62","97.69","97.44","-","0.00%"
"Jan 21, 2020","97.53","97.63","97.66","97.39","-","-0.08%"
"Jan 20, 2020","97.61","97.64","97.73","97.58","-","-0.03%"
"Jan 17, 2020","97.64","97.30","97.66","97.27","-","0.33%"
"Jan 16, 2020","97.32","97.18","97.36","97.08","-","0.09%"
"Jan 15, 2020","97.23","97.38","97.44","97.16","-","-0.14%"
